"Reputation","out_degree_all","out_degree_acc","page_rank"
1,0.930371079758138,0.962610891253002,0.169524974246078
0.930371079758138,1,0.961936999765598,0.126424582932853
0.962610891253002,0.961936999765598,1,0.0994647544880678
0.169524974246078,0.126424582932853,0.0994647544880678,1
