"user_id","betweenness","closeness","in_degree","out_degree","eccentricity"
"23",602.433760683761,1.98795300479097e-05,4,7,6
"34",476,2.00879853759466e-05,2,1,6
"6",6814.30218962923,2.00344592699443e-05,8,34,5
"36",0,2.05693598815205e-05,0,9,5
"38",228.666666666667,1.98259283490949e-05,2,2,6
"37",0,1.99608766817039e-05,0,1,7
"18",1322.41577363205,1.99373965747553e-05,1,25,6
"28",148.75,7.32439756830001e-06,5,2,6
"61",5070.65975877983,2.00072025929335e-05,10,35,5
"14",4242.94886599569,1.99816169124406e-05,12,15,5
"71",0,2.00348606575441e-05,0,1,6
"83",0,2.01413925758827e-05,0,1,7
"57",0,2.01413925758827e-05,0,1,7
"101",0,7.3243439218932e-06,0,1,8
"90",10,7.30460189919649e-06,2,1,8
"96",827.608534981036,1.99413723652462e-05,5,8,5
"35",924.433333333332,1.99080249248472e-05,3,3,6
"103",0,2.13771136621133e-05,1,12,6
"12",1346.39518375356,1.9992402886903e-05,2,12,5
"16",44.3732026143791,1.99167479933876e-05,1,5,6
"114",0,7.3243439218932e-06,0,1,9
"59",1134.98542938578,1.99171446781389e-05,6,7,5
"27",480.663310023309,1.99644632554054e-05,1,15,5
"46",10.9287063505754,1.99409747148441e-05,1,1,6
"24",403.333333333333,1.99159546712872e-05,2,4,6
"120",42.0250945080064,1.98886237072395e-05,2,1,6
"9",0,1.99131785415588e-05,1,1,6
"174",0,2.01844862039037e-05,0,2,6
"195",337.66331002331,1.98716292748842e-05,2,1,5
"219",0,7.32439756830001e-06,0,2,7
"152",0,2.07348428298914e-05,0,16,5
"238",0,2.00605829605408e-05,0,1,6
"87",98.0666666666667,7.32439756830001e-06,3,2,6
"251",0,7.30460189919649e-06,0,1,8
"92",317,7.42484203648567e-06,1,4,7
"280",0,7.30460189919649e-06,0,1,7
"188",0,7.30460189919649e-06,0,1,7
"183",0,7.30460189919649e-06,0,1,1
"145",263.939393939394,1.98306462807623e-05,1,4,6
"326",0,7.30460189919649e-06,0,1,1
"328",4,2.01365256438654e-05,1,2,6
"224",360.384826839827,1.99346144645563e-05,3,5,5
"313",1.33333333333333,7.30460189919649e-06,1,1,6
"339",0.8,1.98263214243229e-05,1,2,6
"97",1,7.30460189919649e-06,1,1,7
"372",0,1.99700449326011e-05,0,1,6
"375",0,1.9974033756117e-05,0,1,6
"348",0,2.01227487674816e-05,0,2,6
"385",3872.62977754251,2.00012000720043e-05,9,50,5
"397",0,7.2849129452903e-06,1,1,0
"400",0,7.30460189919649e-06,0,1,7
"357",0,2.00440970134295e-05,0,4,6
"410",96,7.30460189919649e-06,2,1,6
"246",94,1.99306413680392e-05,1,3,6
"253",441.640878970591,1.98586067201525e-05,2,3,5
"342",95,7.30460189919649e-06,2,1,6
"468",0,1.97863078749505e-05,2,3,6
