"user_id","betweenness","closeness","in_degree","out_degree","eccentricity"
"23",360.204761904762,5.36711034778875e-05,4,6,5
"34",292,5.44959128065395e-05,2,1,6
"6",2585.32531978074,5.42593597395551e-05,7,20,5
"36",0,5.67762448191677e-05,0,9,5
"38",149.666666666667,5.34730763060799e-05,2,2,5
"37",0,5.73789304567363e-05,0,1,7
"18",355,5.37605505080372e-05,1,16,5
"28",93.25,1.98412698412698e-05,5,2,5
"61",2774.39174686622,5.42652485348383e-05,10,35,4
"14",2239.35329862225,5.41096261024836e-05,12,15,4
"71",0,5.43448725612738e-05,0,1,5
"83",0,5.47315417875322e-05,0,1,7
"57",0,5.47315417875322e-05,0,1,7
"101",0,1.98408761730918e-05,0,1,8
"90",4,1.97530864197531e-05,2,1,7
"96",883.723907138613,5.38967338579282e-05,4,7,5
"35",150,5.71330629035023e-05,1,3,6
"103",0,6.04814322003145e-05,1,12,6
"12",486.622023628093,5.40774388924941e-05,2,8,5
"16",27.7212885154062,5.38706028120455e-05,1,5,5
"114",0,1.98408761730918e-05,0,1,8
"59",736.055093240093,5.37374388736633e-05,6,7,6
"27",285.892857142857,5.39519827353655e-05,1,9,5
"46",6.73929288497149,5.38444970923972e-05,1,1,6
"24",258.333333333333,5.38647993536224e-05,2,4,5
"120",48.9420741247057,5.36970412930247e-05,2,1,5
"9",0,5.38444970923972e-05,1,1,5
"174",0,5.50176056338028e-05,0,2,5
"195",199.892857142857,5.35417893666006e-05,2,1,5
"219",0,1.98412698412698e-05,0,2,7
"152",0,5.68084985513833e-05,0,14,5
"238",0,5.45018530630041e-05,0,1,5
"87",2.9,1.97530864197531e-05,3,1,5
"251",0,1.97530864197531e-05,0,1,7
"92",14,2.02930313730265e-05,1,4,6
"280",0,1.97530864197531e-05,0,1,7
"188",0,1.97530864197531e-05,0,1,6
"183",0,1.97530864197531e-05,0,1,1
"145",0,5.47165681768439e-05,0,3,7
"326",0,1.97530864197531e-05,0,1,1
