"user_id","betweenness","closeness","in_degree","out_degree","eccentricity"
"23",1007.89844861374,3.21614763404099e-06,4,8,7
"34",898,3.22822241161127e-06,2,1,6
"6",17831.4206593409,3.22431910441313e-06,9,60,5
"36",0,3.2557488385116e-06,0,9,6
"38",55.025,3.2126140076396e-06,2,2,8
"37",0,3.22196088539485e-06,0,1,7
"18",3482.46482527085,3.22086087169379e-06,1,52,6
"28",269.25,1.47818348987296e-06,5,2,7
"61",10292.6863537924,3.22171175989227e-06,10,35,6
"14",8098.67137106329,3.22094386539031e-06,12,15,6
"71",0,3.22483899991293e-06,0,1,7
"83",0,3.23212473415774e-06,0,1,7
"57",0,3.23212473415774e-06,0,1,7
"101",0,1.47818130484977e-06,0,1,9
"90",11,1.47638739814772e-06,2,1,7
"96",2566.13503635485,3.21992748723299e-06,6,15,6
"35",1702.25246849221,3.21807269626221e-06,3,5,6
"103",0,3.30812541765083e-06,1,13,6
"12",2100.57617046904,3.22136927522413e-06,2,14,6
"16",84.6465280333702,3.21717197714521e-06,1,5,6
"114",0,1.47818130484977e-06,0,1,8
"59",2054.30312569443,3.21773098481875e-06,6,7,7
"27",838.664542131149,3.2200000644e-06,1,15,7
"46",10.5873931748292,3.21969940886319e-06,1,1,6
"24",1391.23286565002,3.21715127688734e-06,3,4,7
"120",55.8294374770643,3.21633382972085e-06,2,1,7
"9",0,3.21707882808252e-06,1,1,7
"174",0,3.2334206356905e-06,0,2,7
"195",564.664542131151,3.21539272806781e-06,2,1,6
"219",0,1.47818348987296e-06,0,2,7
"152",0,3.27250831217111e-06,0,18,6
"238",0,3.22560875301191e-06,0,1,7
"87",177.833912324235,1.47818348987296e-06,3,2,6
"251",0,1.47638739814772e-06,0,1,7
"92",561,1.48722326493098e-06,1,4,7
"280",0,1.47638739814772e-06,0,1,8
"188",0,1.47638739814772e-06,0,1,8
"183",0,1.47638739814772e-06,0,1,1
"145",711.483333333333,3.21538238935065e-06,1,6,6
"326",0,1.47638739814772e-06,0,1,1
"328",4,3.23232323232323e-06,1,2,7
"224",713.018471196747,3.2198549133376e-06,3,5,6
"313",1.66666666666667,1.47638739814772e-06,1,1,7
"339",174.766666666667,3.21322305551807e-06,1,3,7
"97",1,1.47638739814772e-06,1,1,8
"372",0,3.22161834776081e-06,0,1,8
"375",0,3.2237474129427e-06,0,1,7
"348",0,3.23232323232323e-06,0,2,7
"385",7758.6845126376,3.22210622639807e-06,10,51,6
"397",0,1.47459566586842e-06,1,1,0
